1-32-P-96-P-192-10,,,,,,,"committee of 35 conv. net, 1-20-P-40-P-150-10",,,,,,,"committee of 35 conv. net, 1-20-P-40-P-150-10",,,,,
Index,activate,optimize,batch_sizes,test_loss,test_acc,,Index,activate,optimize,batch_sizes,test_loss,test_acc,,Index,activate,optimize,batch_sizes,test_loss,test_acc
4,relu,adam,32,0.035204973,0.992799997,,11,relu,rmsprop,64,0.039192218,0.992299974,,11,relu,rmsprop,64,0.032264933,0.992399991
0,relu,adamax,16,0.025798285,0.992399991,,4,relu,adam,32,0.040145468,0.99180001,,0,relu,adamax,16,0.025091613,0.991599977
12,tanh,adamax,16,0.028832912,0.992200017,,2,relu,adamax,64,0.026014145,0.991699994,,3,relu,adam,16,0.047243953,0.99150002
11,relu,rmsprop,64,0.052848682,0.9921,,10,relu,rmsprop,32,0.050065983,0.991100013,,14,tanh,adamax,64,0.028698742,0.99119997
1,relu,adamax,32,0.030796815,0.99150002,,12,tanh,adamax,16,0.028769253,0.990999997,,22,tanh,rmsprop,32,0.046783794,0.99089998
13,tanh,adamax,32,0.027441131,0.99150002,,0,relu,adamax,16,0.02844418,0.990800023,,1,relu,adamax,32,0.029181587,0.990800023
22,tanh,rmsprop,32,0.048631474,0.991400003,,13,tanh,adamax,32,0.030331962,0.990700006,,23,tanh,rmsprop,64,0.038102627,0.990800023
3,relu,adam,16,0.045432638,0.991299987,,16,tanh,adam,32,0.036402702,0.990700006,,35,elu,rmsprop,64,0.058979888,0.990800023
5,relu,adam,64,0.041609585,0.991299987,,25,elu,adamax,32,0.031120103,0.99059999,,12,tanh,adamax,16,0.029424341,0.990700006
23,tanh,rmsprop,64,0.048941836,0.99119997,,1,relu,adamax,32,0.028871659,0.990400016,,10,relu,rmsprop,32,0.053143486,0.99059999
2,relu,adamax,64,0.031605262,0.990800023,,29,elu,adam,64,0.047800638,0.990400016,,17,tanh,adam,64,0.034104258,0.99059999
14,tanh,adamax,64,0.027951678,0.990700006,,18,tanh,SGD,16,0.032115489,0.990199983,,29,elu,adam,64,0.04634906,0.99059999
25,elu,adamax,32,0.034419142,0.990700006,,26,elu,adamax,64,0.031212339,0.990199983,,24,elu,adamax,16,0.030778272,0.990400016
21,tanh,rmsprop,16,0.066025503,0.990400016,,23,tanh,rmsprop,64,0.044310264,0.990100026,,30,elu,SGD,16,0.031259079,0.9903
34,elu,rmsprop,32,0.097087651,0.990400016,,9,relu,rmsprop,16,0.04792852,0.99000001,,4,relu,adam,32,0.043457568,0.990199983
24,elu,adamax,16,0.042242792,0.990199983,,14,tanh,adamax,64,0.028585801,0.989899993,,13,tanh,adamax,32,0.027847596,0.99000001
35,elu,rmsprop,64,0.068937525,0.990199983,,21,tanh,rmsprop,16,0.066732742,0.989700019,,5,relu,adam,64,0.038876366,0.989499986
28,elu,adam,32,0.066754699,0.990100026,,5,relu,adam,64,0.040637556,0.989499986,,25,elu,adamax,32,0.033891197,0.989400029
10,relu,rmsprop,32,0.056049451,0.989899993,,22,tanh,rmsprop,32,0.056489728,0.989499986,,2,relu,adamax,64,0.027668942,0.989300013
26,elu,adamax,64,0.038125128,0.989600003,,24,elu,adamax,16,0.032956123,0.989400029,,6,relu,SGD,16,0.03341049,0.989199996
30,elu,SGD,16,0.032855537,0.989600003,,28,elu,adam,32,0.067422204,0.988799989,,9,relu,rmsprop,16,0.059284754,0.989199996
9,relu,rmsprop,16,0.047362808,0.989300013,,33,elu,rmsprop,16,0.090878211,0.988499999,,28,elu,adam,32,0.051154219,0.989199996
27,elu,adam,16,0.106826395,0.989000022,,34,elu,rmsprop,32,0.080885813,0.988499999,,33,elu,rmsprop,16,0.095917784,0.989000022
31,elu,SGD,32,0.034433227,0.989000022,,27,elu,adam,16,0.073583849,0.988399982,,34,elu,rmsprop,32,0.084164053,0.988799989
18,tanh,SGD,16,0.033540346,0.988900006,,7,relu,SGD,32,0.036707383,0.988300025,,21,tanh,rmsprop,16,0.062302046,0.988600016
16,tanh,adam,32,0.045782797,0.988600016,,17,tanh,adam,64,0.041243084,0.988300025,,16,tanh,adam,32,0.047290061,0.988300025
33,elu,rmsprop,16,0.151279032,0.988300025,,6,relu,SGD,16,0.034998406,0.988200009,,26,elu,adamax,64,0.034587964,0.988200009
19,tanh,SGD,32,0.039160386,0.988200009,,3,relu,adam,16,0.058363292,0.988099992,,7,relu,SGD,32,0.037376959,0.987600029
6,relu,SGD,16,0.03550861,0.987999976,,31,elu,SGD,32,0.036191028,0.987999976,,15,tanh,adam,16,0.049027555,0.987600029
15,tanh,adam,16,0.041900024,0.987900019,,30,elu,SGD,16,0.03640347,0.987900019,,31,elu,SGD,32,0.037089065,0.987600029
29,elu,adam,64,0.071179576,0.987800002,,35,elu,rmsprop,64,0.066677161,0.987900019,,18,tanh,SGD,16,0.03655668,0.987399995
7,relu,SGD,32,0.038526617,0.987299979,,15,tanh,adam,16,0.047134046,0.986899972,,27,elu,adam,16,0.086456008,0.987299979
32,elu,SGD,64,0.044783033,0.986400008,,19,tanh,SGD,32,0.044507626,0.985099971,,19,tanh,SGD,32,0.043828994,0.986000001
17,tanh,adam,64,0.048184399,0.986100018,,32,elu,SGD,64,0.046518926,0.984600008,,32,elu,SGD,64,0.046945069,0.984600008
8,relu,SGD,64,0.045869682,0.985300004,,8,relu,SGD,64,0.054297589,0.982299984,,8,relu,SGD,64,0.047388598,0.983900011
20,tanh,SGD,64,0.061163481,0.98180002,,20,tanh,SGD,64,0.066577494,0.98119998,,20,tanh,SGD,64,0.069908001,0.979799986
