Date,new_cases
3/2/2020,9
3/3/2020,18
3/4/2020,36
3/5/2020,64
3/6/2020,67
3/7/2020,78
3/8/2020,121
3/9/2020,160
3/10/2020,209
3/11/2020,420
3/12/2020,493
3/13/2020,514
3/14/2020,748
3/15/2020,911
3/16/2020,1231
3/17/2020,2198
3/18/2020,2346
3/19/2020,3222
3/20/2020,4899
3/21/2020,6170
3/22/2020,7432
3/23/2020,9218
3/24/2020,10843
3/25/2020,10725
3/26/2020,11351
3/27/2020,14152
3/28/2020,18761
3/29/2020,20027
3/30/2020,20620
3/31/2020,26296
4/1/2020,15794
4/2/2020,23266
4/3/2020,28333
4/4/2020,29943
4/5/2020,31805
4/6/2020,32465
4/7/2020,27457
4/8/2020,28555
4/9/2020,30169
4/10/2020,33605
4/11/2020,34924
4/12/2020,31908
4/13/2020,32182
4/14/2020,27798
4/15/2020,24909
4/16/2020,25164
4/17/2020,25339
4/18/2020,31765
4/19/2020,29743
4/20/2020,27590
4/21/2020,27884
4/22/2020,25790
4/23/2020,25441
4/24/2020,31414
4/25/2020,32961
4/26/2020,34099
4/27/2020,33367
4/28/2020,27231
4/29/2020,24190
4/30/2020,23474
5/1/2020,27180
5/2/2020,32405
5/3/2020,30214
5/4/2020,28391
5/5/2020,27840
5/6/2020,21167
5/7/2020,23190
5/8/2020,24271
5/9/2020,30603
5/10/2020,28021
5/11/2020,25965
5/12/2020,21648
5/13/2020,19278
5/14/2020,24245
5/15/2020,17733
5/16/2020,34433
5/17/2020,27109
5/18/2020,25301
5/19/2020,19220
5/20/2020,24682
5/21/2020,20670
5/22/2020,24434
5/23/2020,25510
5/24/2020,26007
5/25/2020,20964
5/26/2020,21764
5/27/2020,19138
5/28/2020,16941
5/29/2020,20344
5/30/2020,24183
5/31/2020,23535
6/1/2020,23709
6/2/2020,21202
6/3/2020,17323
6/4/2020,20720
6/5/2020,21069
6/6/2020,20687
6/7/2020,24403
6/8/2020,23564
6/9/2020,17777
6/10/2020,18032
6/11/2020,18545
6/12/2020,22451
6/13/2020,22661
6/14/2020,28735
6/15/2020,25995
6/16/2020,20608
6/17/2020,20583
6/18/2020,24915
6/19/2020,25550
6/20/2020,28741
6/21/2020,33270
6/22/2020,33339
6/23/2020,27325
6/24/2020,28663
6/25/2020,37913
6/26/2020,37363
6/27/2020,46975
6/28/2020,46524
6/29/2020,43569
6/30/2020,37767
7/1/2020,38560
7/2/2020,46529
7/3/2020,59676
7/4/2020,55405
7/5/2020,60219
7/6/2020,49511
7/7/2020,40378
7/8/2020,51142
7/9/2020,55915
7/10/2020,65354
