Time,Avocado_Prices
1,1.64
2,1.66
3,1.68
4,1.67
5,1.58
6,1.59
7,1.5
8,1.42
9,1.37
10,1.45
11,1.59
12,1.53
13,1.63
14,1.6
15,1.49
16,1.5
17,1.49
18,1.4
19,1.51
20,1.58
21,1.48
22,1.36
23,1.53
24,1.42
25,1.42
26,1.46
27,1.34
28,1.43
29,1.42
30,1.56
31,1.64
32,1.63
33,1.7
34,1.68
35,1.93
36,1.63
37,1.5
38,1.52
39,1.71
40,1.69
41,1.67
42,1.52
43,1.54
44,1.49
45,1.51
46,1.48
47,1.55
48,1.58
49,1.65
50,1.63
51,1.51
52,1.47
53,1.5
54,1.45
55,1.45
56,1.43
57,1.41
58,1.36
59,1.45
60,1.3
61,1.28
62,1.25
63,1.38
64,1.26
65,1.44
66,1.44
67,1.27
68,1.29
69,1.28
70,1.44
71,1.45
72,1.37
73,1.44
74,1.43
75,1.41
76,1.44
77,1.35
78,1.43
79,1.52
80,1.64
81,1.57
82,1.54
83,1.62
84,1.72
85,1.77
86,1.81
87,1.82
88,1.84
89,1.82
90,1.85
91,1.9
92,1.95
93,1.94
94,2
95,2.03
96,2.06
97,2.09
98,1.96
99,1.88
100,1.83
101,1.78
102,1.76
103,1.78
104,1.71
105,1.74
106,1.77
107,1.71
108,1.56
109,1.64
110,1.69
111,1.71
112,1.55
113,1.57
114,1.68
115,1.61
116,1.49
117,1.43
118,1.42
119,1.29
120,1.5
121,1.38
122,1.16
123,1.21
124,1.31
125,1.41
126,1.36
127,1.43
128,1.37
129,1.44
130,1.43
131,1.48
132,1.55
133,1.54
134,1.52
135,1.52
136,1.57
137,1.52
138,1.56
139,1.53
140,1.61
141,1.63
142,1.59
143,1.51
